"ID;Pakomats;Datums;Sutijumi;KoordX;KoordY"
"9929;Jelgavas Vivo RIMI pakom?s;12.nov;3309;56.647499;23.7265"
"9928;Valmieras T/C Valleta pakom?s;12.nov;3009;57.538544;25.423716"
"9921;C?u Maxima XX pakom?s;12.nov;2572;57.317123;25.280035"
"9920;Kauguru RIMI pakom?s;12.nov;2533;56.960899;23.615583"
"9918;Daugavpils T/C Ditton pakom?s;12.nov;2418;55.874596;26.516401"
"9931;Talsu Talsu RIMI 2 pakom?s;Oct. 2013;2355;57.248009;22.578781"
"9924;J?abpils Mego pakom?s;12.nov;2221;56.49342;25.87512"
"9946;B?nu pasaule RIMI pakom?s;OCT. 2014;2213;56.957136;24.134079"
"9927;Tukuma Pasta RIMI pakom?s;12.nov;2210;56.967484;23.158829"
"9936;Saldus Maxima XX pakom?s;Oct. 2013;2160;56.668266;22.490301"
"9930;Kuld?as RIMI pakom?s;Oct. 2013;2039;56.967018;21.958281"
"9923;Ventspils Mego pakom?s;12.nov;2035;57.389889;21.562643"
"9925;Ogres T/C Ogres presti? pakom?s;12.nov;2028;56.82513;24.602722"
"9947;Salaspils RIMI pakom?s;OCT. 2014;1983;56.856382;24.333762"
"9902;R?as Anni?ui?s RIMI pakom?s;12.nov;1941;56.960407;24.012615"
"9926;Liep?as Ro? laukums pakom?s;12.nov;1922;56.509052;21.01174"
"9922;R?eknes Maxima XX pakom?s;12.nov;1918;56.524147;27.339478"
"9917;Liep?as Baata pakom?s;12.nov;1917;56.486786;21.004957"
"9941;Dobeles RIMI pakom?s;OCT. 2014;1858;56.624913;23.283044"
"9915;R?as T/C Juglas Centrs pakom?s;12.nov;1845;56.989292;24.244766"
"9939;R?as T/C Valdem?s pakom?s;Oct. 2013;1820;56.974503;24.135998"
"9940;Bauskas Supernetto pakom?s;Oct. 2013;1817;56.40707;24.194196"
"9914;R?as T/C Spice pakom?s;12.nov;1809;56.929756;24.036562"
"9905;R?as T/C Dole pakom?s;12.nov;1794;56.905651;24.19138"
"9906;R?as Saharova ielas Mego pakom?s;12.nov;1727;56.937157;24.204168"
"9938;Liep?as Supernetto Zieme? iela pakom?s;Oct. 2013;1721;56.53495;21.012362"
"9952;?a? T/C Supernetto pakom?s;OCT. 2015;1670;57.076475;24.322602"
"9944;Madonas Maxima XX pakom?s;OCT. 2014;1623;56.860005;26.2311"
"9967;M?upes RIMI pakom?s;OCT. 2016;1543;56.905462;24.055561"
"9954;R?as T/C Minska pakom?s;OCT. 2015;1521;56.959053;24.174548"
"9932;Siguldas T/C ?kol?e pakom?s;Oct. 2013;1499;57.143288;24.844282"
"9904;R?as Deglava ielas Maxima XXX pakom?s;12.nov;1495;56.950498;24.187498"
"9950;Aizkraukles T/C Iga pakom?s;OCT. 2015;1493;56.611536;25.263084"
"9919;Jelgavas T/C RAF Centrs pakom?s;12.nov;1451;56.667986;23.760634"
"9953;Ogres T/C Dauga pakom?s;OCT. 2015;1399;56.816508;24.585355"
"9933;R?as Bi?rnieku RIMI pakom?s;Oct. 2013;1373;56.956909;24.25337"
"9961;R?as Ziepniekkalna MEGO pakom?s;OCT. 2016;1370;56.902807;24.094932"
"9901;R?as T/C Alfa pakom?s;12.nov;1334;56.98267;24.203503"
"9949;Olaines Maxima pakom?s;OCT. 2015;1322;56.78457;23.936511"
"9963;Ventspils T/C Tobago pakom?s;OCT. 2016;1321;57.387718;21.580208"
"9948;Gulbenes Maxima pakom?s;OCT. 2014;1295;57.172298;26.757055"
"9911;R?as T/C Mols pakom?s;12.nov;1294;56.934696;24.142799"
"9974;R?ekne RIMI Galdnieku iela pakom?s;OCT. 2016;1260;56.502256;27.330051"
"9907;R?as I?uciema RIMI pakom?s;12.nov;1254;56.959496;24.053192"
"9955;Smiltenes T/C Centrs pakom?s;OCT. 2015;1248;57.42392;25.903996"
"9959;R?as Vecm?gr?ja RIMI pakom?s;OCT. 2016;1243;57.031556;24.109413"
"9942;Limba? Maxima XX pakom?s;OCT. 2014;1235;57.513751;24.722431"
"9943;Lielupes RIMI pakom?s;OCT. 2014;1189;56.974873;23.85903"
"9981;Jelgavas T/C RIMI Satiksmes pakom?s;OCT. 2016;1185;56.656704;23.699647"
"9978;?kavas TC Liiba pakom?s;OCT. 2016;1171;56.832535;24.232458"
"9965;R?as Stacijas laukuma pakom?s;OCT. 2016;1162;56.948343;24.122626"
"9903;R?as P.Brie? ielas RIMI pakom?s;12.nov;1142;56.964867;24.105871"
"9908;R?as RIMI Gramzdas pakom?s;JUL. 2014;1090;56.944697;24.011301"
"9951;Al?snes T/C Maxima X pakom?s;OCT. 2015;1085;57.430149;27.039393"
"9935;R?as T/C Damme pakom?s;Oct. 2013;1068;56.953259;24.037701"
"9916;Daugavpils Ave? centrs pakom?s;12.nov;1058;55.901089;26.526382"
"9986;Siguldas ELVI Vidus iela pakom?s;OCT. 2016;1056;57.153081;24.84786"
"9971;R?as Maxima X Ulbrokas iela pakom?s;OCT. 2016;1053;56.940718;24.217193"
"9968;R?as Neste DUS Br??as pakom?s;OCT. 2016;1023;56.978119;24.181891"
"9964;R?as ?enskalna Maxima X pakom?s;OCT. 2016;1003;56.936982;24.07074"
"9958;Prei? Maxima X pakom?s;OCT. 2015;958;56.294435;26.725437"
"9957;Ventspils Supernetto T?gales pakom?s;OCT. 2015;953;57.400019;21.602782"
"9982;Balvu TOP pakom?s;OCT. 2016;875;57.132165;27.263967"
"9960;R?as Bolder?as Mego pakom?s;OCT. 2016;865;57.033239;24.048143"
"9909;R?as G.Astras ielas Lukoil pakom?s;12.nov;841;56.956886;24.189278"
"9912;R?as Vien?as gatves Neste pakom?s;12.nov;833;56.910175;24.087246"
"9966;Liep?as T/C Rietumu centrs pakom?s;OCT. 2016;826;56.51501;21.018218"
"9910;R?as M?usalas Maxima XX pakom?s;12.nov;807;56.923395;24.106946"
"9987;Iecavas Maxima X pakom?s;JUL. 2016;804;56.597865;24.196916"
"9985;Ludzas Maxima X pakom?s;OCT. 2016;800;56.543852;27.711395"
"9977;R?as T/C Penta pakom?s;OCT. 2016;793;56.968073;24.236744"
"9934;R?as T/C Olimpia pakom?s;Oct. 2013;791;56.949924;24.08128"
"9970;Balo? Mego pakom?s;OCT. 2016;755;56.875234;24.118521"
"9937;?kavas nov. T/C A7 pakom?s;Oct. 2013;704;56.895973;24.139194"
"9962;R?as Dzelzavas ielas Supernetto pakom?s;OCT. 2016;675;56.954162;24.204951"
"9887;Valmieras Maxima X N?otnes iela pakom?s;18.janv;666;57.530061;25.427524"
"9988;Carnikavas Mego pakom?s;OCT.2016;647;57.128349;24.276067"
"9975;R?as Dzirciema ielas pakom?s;OCT. 2016;643;56.950637;24.053969"
"9983;L??u Maxima XX pakom?s;OCT. 2016;638;56.355216;26.174944"
"9980;Aizputes TOP Zvaig?u iela pakom?s;OCT. 2016;619;56.719004;21.607323"
"9998;Daugavpils Mego Valkas iela pakom?s;18.janv;615;55.879901;26.560687"
"9956;Valkas T/C Walk pakom?s;OCT. 2015;595;57.785275;26.014727"
"9972;R?as Grostonas iela Prisma pakom?s;OCT. 2016;592;56.964547;24.11906"
"9976;R?as T/C RIMI M?gr?is pakom?s;OCT. 2016;583;57.025436;24.139507"
"9984;Kr?lavas Maxima X pakom?s;OCT. 2016;541;55.897035;27.162051"
"9890;R?as Lido? iela RIMI pakom?s;18.janv;531;56.969486;24.059601"
"9979;Kandavas Maxima X pakom?s;OCT. 2016;522;57.035169;22.781189"
"9969;J?abpils Maxima X pakom?s;OCT. 2016;509;56.501563;25.87377"
"9995;R?as T/C ZOOM pakom?s;17.dec;509;56.89806;24.204222"
"9881;R?as T/C DOMINA pakom?s;18.janv;491;56.965629;24.162696"
"9893;Ik?iles Maxima X pakom?s;18.janv;463;56.838117;24.496888"
"9894;Grobi?s TOP pakom?s;18.janv;451;56.535101;21.168138"
"9892;Lielv?des Maxima X pakom?s;18.janv;445;56.718061;24.81462"
"9991;R?ienas TOP pakom?s;17.dec;433;57.897417;25.324689"
"9994;Ozolnieku Elvi pakom?s;17.dec;370;56.691705;23.792724"
"9889;Salacgr?as Maxima X pakom?s;18.janv;361;57.751951;24.358421"
"9886;Vi?nu pakom?s;18.janv;335;56.548038;26.923911"
"9990;P?vi? TOP pakom?s;18.janv;327;56.618052;25.734168"
"9898;Priekules TOP pakom?s;18.janv;316;56.447324;21.584883"
"9992;Skrundas ELVI pakom?s;17.dec;300;56.673477;22.013661"
"9880;R?as T/C RIMI N?gale pakom?s;18.janv;297;56.945271;24.172698"
"9888;Tukuma Maxima XX pakom?s;18.janv;266;56.971738;23.153615"
"9895;Baldones MEGO pakom?s;18.febr;208;56.742891;24.396305"
"9899;Jelgavas T/C Valdeka pakom?s;18.janv;185;56.661755;23.746968"
"9989;Dagdas TOP pakom?s;18.janv;164;56.095957;27.539638"
"9993;Vecpiebalgas TOP pakom?s;18.janv;121;57.060241;25.817247"
"9882;R?as T/C Riga Plaza pakom?s;18.janv;103;56.926828;24.102272"
";Broc?u MEGO pakom?s;;-5;56.682556;22.565434"
";Pi?u Elvi pakom?s;;-5;56.944192;23.908955"
";R?as Bri?a ielas Rimi pakom?s;;-5;56.977408;24.435093"
";R?as Centrus kvart?s pakom?s;;-5;56.952903;24.121952"
